1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
4-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
4-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
Bcs;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
Projekt;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
7,5-hp;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
COURSE_AI1550;;;;;;;;;;;;;;;
COURSE_AI1127;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI1178;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
COURSE_SF1627;;;;;;;;;;;;;;;
180-hp;;;;;;;;;;;;;;;
180-hp;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
120-hp;;;;;;;;;;;;;;;
180-hp;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI1142;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
COURSE_AI1126;;;;;;;;;;;;;;;
COURSE_AI1123;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI1126;COURSE_AI1127;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI2140;;;;;;;;;;;;;;;
COURSE_SF1627;;;;;;;;;;;;;;;
Dr;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
180-hp;;;;;;;;;;;;;;;
Bcs-exam;;;;;;;;;;;;;;;
